accX,accY,accZ,gyrX,gyrY,gyrZ
-0.3037109375,-1.00048828125,-0.7783203125,-35.46142578125,1.3427734375,-89.29443359375
-0.3017578125,-0.87353515625,-0.7802734375,-34.912109375,1.5869140625,-89.7216796875
-0.3046875,-1.00732421875,-0.779296875,-34.5458984375,1.953125,-90.33203125
-0.30322265625,-1.01220703125,-0.78857421875,-34.3017578125,2.0751953125,-90.88134765625
-0.3046875,-1.01513671875,-0.78857421875,-33.935546875,2.38037109375,-91.4306640625
-0.2998046875,-1.02392578125,-0.787109375,-33.5693359375,2.50244140625,-92.22412109375
-0.294921875,-1.02685546875,-0.79052734375,-33.38623046875,2.685546875,-92.7734375
-0.28515625,-1.02978515625,-0.78759765625,-32.8369140625,2.38037109375,-93.32275390625
-0.28564453125,-1.0341796875,-0.78125,-32.71484375,2.62451171875,-93.6279296875
-0.28076171875,-1.0400390625,-0.78125,-32.04345703125,2.5634765625,-109.80224609375
-0.287109375,-1.041015625,-0.78076171875,-31.79931640625,2.38037109375,-110.29052734375
-0.283203125,-1.04638671875,-0.771484375,-31.55517578125,2.38037109375,-110.595703125
-0.2734375,-1.0556640625,-0.76806640625,-31.31103515625,2.13623046875,-111.14501953125
-0.271484375,-1.0556640625,-0.76708984375,-15.19775390625,1.708984375,-111.51123046875
-0.265625,-1.05908203125,-0.7548828125,-14.892578125,1.03759765625,-111.99951171875
-0.2705078125,-0.93994140625,-0.75048828125,-14.6484375,0.30517578125,-112.4267578125
-0.2705078125,-0.939453125,-0.7548828125,-14.404296875,-15.9912109375,-112.73193359375
-0.259765625,-0.951171875,-0.619140625,-14.34326171875,-17.15087890625,-113.1591796875
-0.26171875,-0.95654296875,-0.6142578125,-14.09912109375,-17.51708984375,-113.28125
-0.26123046875,-0.95849609375,-0.61474609375,-13.916015625,-18.49365234375,-113.70849609375
-0.2587890625,-0.96923828125,-0.61767578125,-13.671875,-19.287109375,-113.83056640625
-0.12060546875,-0.9775390625,-0.61572265625,-13.427734375,-19.775390625,-113.83056640625
-0.1201171875,-0.98388671875,-0.61474609375,-13.3056640625,-20.44677734375,-113.76953125
-0.11669921875,-0.98974609375,-0.61474609375,-13.12255859375,-20.81298828125,-113.95263671875
-0.1064453125,-0.99365234375,-0.61474609375,-12.939453125,-20.99609375,-114.013671875
-0.10888671875,-0.99365234375,-0.61279296875,-12.6953125,-21.05712890625,-114.07470703125
-0.1015625,-1.1259765625,-0.61083984375,-12.51220703125,-20.5078125,-114.1357421875
-0.0966796875,-1.126953125,-0.60498046875,-12.3291015625,-20.263671875,-114.07470703125
-0.0966796875,-1.1259765625,-0.60205078125,-12.26806640625,-19.83642578125,-113.95263671875
-0.09228515625,-0.9970703125,-0.5927734375,-12.02392578125,-18.85986328125,-113.525390625
-0.09228515625,-0.9990234375,-0.595703125,-11.65771484375,-18.310546875,-113.46435546875
-0.09375,-0.99755859375,-0.58056640625,-11.53564453125,-17.578125,-113.1591796875
-0.0927734375,-1.0,-0.5751953125,-11.3525390625,-16.845703125,-113.037109375
-0.0888671875,-0.9990234375,-0.572265625,-11.29150390625,-16.29638671875,-112.548828125
-0.08935546875,-0.99853515625,-0.57373046875,-11.16943359375,-15.80810546875,-112.3046875
-0.0908203125,-0.998046875,-0.568359375,-10.92529296875,0.18310546875,-112.12158203125
-0.087890625,-1.126953125,-0.5712890625,-10.7421875,0.3662109375,-111.51123046875
-0.08642578125,-0.998046875,-0.57470703125,-10.7421875,0.3662109375,-110.90087890625
-0.0849609375,-0.994140625,-0.57177734375,-10.498046875,0.1220703125,-110.595703125
-0.0791015625,-0.99169921875,-0.56640625,-10.55908203125,0.0,-109.9853515625
-0.07275390625,-0.9990234375,-0.5654296875,-10.31494140625,-16.05224609375,-109.55810546875
-0.076171875,-1.1337890625,-0.576171875,-10.31494140625,-16.54052734375,-93.07861328125
-0.0693359375,-1.13134765625,-0.5732421875,-10.31494140625,-17.39501953125,-92.529296875
-0.1875,-1.14453125,-0.58154296875,-10.25390625,-18.37158203125,-91.4306640625
-0.1826171875,-1.15087890625,-0.5888671875,-10.25390625,-19.10400390625,-90.75927734375
-0.1689453125,-1.173828125,-0.583984375,-10.009765625,-20.56884765625,-89.84375
-0.16748046875,-1.064453125,-0.59521484375,-10.07080078125,-21.3623046875,-89.17236328125
-0.1640625,-1.07958984375,-0.60009765625,-10.009765625,-22.216796875,-88.134765625
-0.1572265625,-1.11328125,-0.607421875,-9.765625,-8.36181640625,-86.7919921875
-0.1552734375,-1.26806640625,-0.607421875,-9.8876953125,-9.3994140625,-101.4404296875
-0.1572265625,-1.29638671875,-0.61083984375,-9.6435546875,-11.04736328125,-99.9755859375
-0.1630859375,-1.189453125,-0.6142578125,-9.765625,-12.14599609375,-98.876953125
-0.1650390625,-1.20947265625,-0.62060546875,-9.70458984375,-13.0615234375,-98.0224609375
-0.166015625,-1.24853515625,-0.62158203125,-9.33837890625,-14.95361328125,-96.0693359375
-0.17041015625,-1.39306640625,-0.623046875,-9.21630859375,-31.55517578125,-94.970703125
-0.181640625,-1.4130859375,-0.62060546875,-9.27734375,-32.89794921875,-77.81982421875
-0.18359375,-1.431640625,-0.6103515625,-8.97216796875,-33.5693359375,-76.5380859375
-0.1875,-1.3310546875,-0.60400390625,-9.1552734375,-34.5458984375,-74.70703125
-0.1865234375,-1.33935546875,-0.591796875,-8.9111328125,-35.15625,-73.6083984375
-0.06396484375,-1.3408203125,-0.58203125,-9.033203125,-35.58349609375,-72.57080078125
-0.0693359375,-1.3525390625,-0.5693359375,-8.72802734375,-36.07177734375,-70.9228515625
-0.0693359375,-1.3515625,-0.67626953125,-8.544921875,-36.31591796875,-85.3271484375
-0.0791015625,-1.349609375,-0.6572265625,-8.6669921875,-36.80419921875,-84.16748046875
-0.08154296875,-1.353515625,-0.6494140625,-8.72802734375,-36.68212890625,-83.43505859375
-0.087890625,-1.34912109375,-0.63330078125,-8.7890625,-36.68212890625,-82.45849609375
-0.09423828125,-1.33642578125,-0.48779296875,-8.85009765625,-36.31591796875,-81.23779296875
-0.07958984375,-1.3291015625,-0.47900390625,-8.9111328125,-35.888671875,-80.50537109375
-0.06884765625,-1.43212890625,-0.46533203125,-9.21630859375,-34.7900390625,-79.4677734375
-0.07861328125,-1.4111328125,-0.45166015625,-9.27734375,-34.1796875,-78.9794921875
-0.078125,-1.390625,-0.55615234375,-9.521484375,-32.470703125,-78.30810546875
-0.0859375,-1.3779296875,-0.54443359375,-9.521484375,-15.13671875,-62.31689453125
-0.087890625,-1.248046875,-0.52685546875,-9.70458984375,-13.48876953125,-61.82861328125
-0.083984375,-1.2275390625,-0.50830078125,-9.6435546875,-10.986328125,-61.34033203125
-0.0908203125,-1.208984375,-0.3662109375,-9.765625,-8.85009765625,-61.21826171875
-0.1015625,-1.2021484375,-0.36376953125,-9.8876953125,-21.8505859375,-61.1572265625
-0.10546875,-1.1904296875,-0.3564453125,-9.8876953125,-19.59228515625,-61.34033203125
-0.10888671875,-1.30615234375,-0.34228515625,-10.009765625,-18.06640625,-61.70654296875
-0.1171875,-1.29345703125,-0.3505859375,-10.07080078125,0.3662109375,-61.8896484375
-0.12109375,-1.279296875,-0.3525390625,-10.19287109375,1.953125,-62.255859375
-0.2587890625,-1.2529296875,-0.322265625,-10.009765625,4.2724609375,-78.55224609375
-0.27685546875,-1.25146484375,-0.330078125,-10.25390625,5.79833984375,-79.1015625
-0.2744140625,-1.109375,-0.33056640625,-10.498046875,-7.4462890625,-80.01708984375
-0.29345703125,-1.1005859375,-0.3134765625,-10.43701171875,-6.34765625,-80.4443359375
-0.302734375,-1.0966796875,-0.31640625,-10.43701171875,-5.0048828125,-81.1767578125
-0.1923828125,-1.08984375,-0.318359375,-10.3759765625,-3.60107421875,-81.9091796875
-0.20458984375,-1.09423828125,-0.3232421875,-10.25390625,-2.74658203125,-82.763671875
-0.20166015625,-1.0849609375,-0.32421875,-10.25390625,-1.953125,-83.92333984375
-0.216796875,-1.072265625,-0.3193359375,-10.3759765625,-1.64794921875,-84.65576171875
-0.2080078125,-1.07373046875,-0.32470703125,-10.43701171875,-1.64794921875,-85.5712890625
-0.20849609375,-1.0673828125,-0.32421875,-10.19287109375,-1.5869140625,-71.47216796875
